,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
3586,6.05853,89.29833,1.71138,0.0,5.702
3587,5.01828,57.784,5.16325,0.0,2.24833
3588,3.0236,100.0,6.243,0.0,-0.83138
3590,3.50333,100.0,0.895,0.0,4.019
3591,6.14577,78.80082,0.93115,0.0,6.69
3592,7.98235,98.01961,2.77451,0.0098,7.07863
3593,9.40683,66.31117,1.56733,0.0,9.48817
3595,10.57293,48.15362,2.64983,0.0,10.0781
3596,13.13517,34.14466,2.73828,0.0,12.91603
3598,14.21579,78.07018,2.33684,0.0,14.47316
3599,8.13228,85.88033,2.29656,0.39721,7.6377
3600,5.7753,92.48036,3.78571,0.005,3.98036
3601,14.91932,62.31373,3.02356,0.0,15.00356
3602,0.00909,83.2,3.48727,0.00364,-2.93055
3603,4.15992,96.92167,0.0,0.0,4.16533
3604,5.78898,74.09155,1.07259,0.0,5.90638
3605,8.96642,81.69623,2.91038,0.47434,7.97981
3606,8.15932,95.72881,2.90169,0.00847,7.12271
3607,5.19347,83.41695,3.58085,0.0,3.28
3609,2.6765,89.12143,3.69,0.0,0.25
3610,14.67259,64.09852,2.81741,0.54444,14.71796
3611,-0.4943,71.14279,6.08233,0.0,-5.11967
3612,6.41667,98.0,2.22,0.00333,5.596
3614,7.24389,67.83281,2.46263,0.61632,6.24474
3615,6.41667,99.96667,1.47,0.0,6.27033
3617,9.74407,78.91525,5.01864,0.0,7.95881
3618,9.9807,72.57895,1.29474,0.0,10.45456
3619,5.57036,100.0,4.58097,0.0,3.02458
3620,9.32632,76.47368,1.25965,0.0,9.77719
3621,8.85492,59.23115,1.05328,0.0,9.32557
3622,9.57482,72.5775,3.79286,36.67442,8.37446
3624,6.305,85.06667,4.07167,0.0,4.202
3625,6.17071,97.65577,3.5729,0.0,4.40808
3626,16.013,49.4725,2.34567,20.0,16.49467
3627,15.39246,50.7018,4.84252,0.0,15.00869
3628,7.36949,98.15254,1.19661,0.0,7.70949
3630,5.48556,75.77797,1.56049,0.0,5.20136
3631,8.15833,100.0,0.91,0.0,8.96983
3632,6.51512,100.0,1.90123,0.0,5.84421
3633,12.36431,35.66328,2.56172,0.0,12.38155
3634,14.95984,54.68869,4.45656,0.43721,14.63115
3635,1.24417,95.09574,4.28319,0.0,-1.96702
3641,3.66349,100.0,0.0,16.36288,3.66373
3642,8.53875,81.5625,2.28857,0.48768,7.94518
