,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
13983,23.20705,54.58738,6.70172,0.0,24.34279
13984,28.36203,71.69068,3.71114,0.0,31.65305
13985,25.52778,74.14444,3.831,0.0,26.70667
13986,25.03,81.57233,1.33117,0.0,26.653
13987,25.36548,79.95935,5.09379,0.0,26.59065
13988,23.74,86.98333,1.96667,0.0,25.55817
13989,22.39,69.95,1.24167,0.0,24.24883
13990,30.265,58.88333,3.26167,0.0,33.1155
13991,23.06656,92.29672,0.95366,0.0,25.10361
13992,24.82117,82.14533,1.718,0.0,26.59767
13993,21.985,87.35333,2.53,0.0,23.403
13994,25.65424,64.6122,3.94039,0.0,26.68407
13995,25.51484,66.20016,3.65516,0.0,26.66258
13996,20.7795,64.85583,2.30618,0.0,22.12083
13998,23.17443,96.47541,2.29393,0.0,24.8241
13999,28.13833,62.66667,4.07333,0.0,30.00133
14000,20.64083,99.66667,0.559,0.0,21.40783
14001,22.07667,71.01667,1.43167,0.0,23.82717
14002,21.50483,56.59317,1.02418,0.0,23.40233
14003,25.88167,77.28333,2.96667,0.0,27.4895
14004,23.01833,54.8,1.45833,0.0,24.87667
14005,24.15,91.47414,1.47214,0.0,26.15914
14006,23.84,85.41667,2.96833,0.0,25.49133
14008,29.46237,47.75658,3.09211,0.0,30.06421
14009,22.4175,53.99333,5.88102,0.0,23.418
14010,27.95833,63.58333,4.56167,0.0,29.82217
14011,25.20516,67.64339,3.62548,0.0,26.22355
14012,24.08667,83.88333,3.15667,0.0,25.76467
14013,19.32426,80.67377,0.76082,0.0,20.52131
14015,22.37068,55.16898,3.01814,0.0,23.74915
14016,25.62167,71.02917,3.16867,0.0,26.7615
14017,22.62617,53.01267,6.87133,0.0,23.5515
14019,26.27069,74.2069,4.46379,0.0,27.89983
14020,20.80414,59.48483,2.01752,0.0,22.21534
14021,24.60113,75.04258,4.56484,0.0,26.14758
14023,23.977,84.99167,1.91533,0.0,25.84917
14024,27.80587,70.61063,2.30524,0.0,30.37111
14027,30.2722,58.69102,2.91119,0.0,33.10186
14028,22.21467,96.62667,2.39738,0.0,23.7105
14029,23.7661,86.82203,0.88424,0.0,25.31186
14030,25.24254,69.36017,3.5578,0.0,26.36542
14031,28.10328,69.90672,4.61,0.0,30.83362
14033,24.46833,78.70783,5.4808,0.0,25.98683
14034,28.47833,71.36667,1.09,0.0,31.84017
14035,23.10069,81.97052,0.63871,0.0,25.28483
14036,21.67333,98.3037,2.22056,0.0,23.12722
14037,22.98644,88.62712,3.6339,0.0,24.38339
14039,22.89525,84.01695,4.91673,0.0,24.10424
14040,20.54067,84.805,0.0,0.0,20.563
14041,22.1039,79.99373,2.79576,0.0,23.48119
14042,18.58169,79.18407,1.01214,0.0,20.20864
14043,26.0925,76.80367,1.774,0.0,27.68067
14044,27.82517,71.17724,2.77,0.0,30.46276
